,Unnamed: 0,City,Domain,Drawing,Icon,Logo,None of above,Photo,Poster,Qr code,,Awards,Commericial logos,Local symbols,National symbols,Non
0,202,CITY OF OXNARD,www.oxnard.org,1,16,8,1,6,2,,,,6,2,,
1,188,CITY OF FREMONT,www.fremont.gov,,6,4,8,4,7,,,1,2,3,,
2,118,CITY OF WASHINGTON DC,dc.gov,,20,6,1,1,4,1,,,4,2,,
3,30,Sheffield,www.sheffield.gov.uk,,3,5,,1,2,,,,5,2,,
4,20,Westminster,www.westminster.gov.uk,2,4,6,,5,,,,,3,1,,
5,41,Doncaster,www.doncaster.gov.uk,1,27,6,0,0,1,,,,3,1,,
6,74,Shropshire,shropshire.gov.uk,,25,4,,1,1,,,,6,2,,
7,59,Gateshead,www.gateshead.gov.uk,,4,4,,5,3,,,,8,2,,
8,28,Birmingham,www.birmingham.gov.uk,,14,8,,1,,,,,3,1,,
9,224,City of Parramatta Council,www.cityofparramatta.nsw.gov.au,3,22,6,0,9,1,,,,3,2,,
10,237,City of Wanneroo,www.wanneroo.wa.gov.au,7,5,4,7,7,,,,,4,3,,
11,236,City of Brimbank,www.brimbank.vic.gov.au,,13,17,0,8,2,,,,5,2,,
12,92,Peterborough,www.peterborough.gov.uk,,5,4,,4,0,,,3,4,1,,
13,103,CITY AND COUNTY OF HONOLULU,www.honolulu.gov,,18,1,,0,1,,,,4,2,,
14,138,CITY OF OAKLAND,www.oaklandca.gov,,3,5,,15,,,,,,5,,
15,166,CITY OF TOLEDO,toledo.oh.gov,,14,8,,3,,,,,5,3,,
16,153,CITY OF STOCKTON,ww1.stocktonca.gov,,7,4,,2,4,,,,6,11,,
17,65,Wiltshire,www.wiltshire.gov.uk,,1,2,,,,,,,4,3,,
18,119,CITY OF MEMPHIS,www.memphistn.gov,,15,8,0,2,1,,,2,4,1,,
19,161,CITY OF PLANO,www.plano.gov,,6,8,,2,,,,,,1,,1
21,146,CITY OF BAKERSFIELD,www.bakersfieldcity.us,,21,7,,5,,,,,4,6,,1
22,163,CITY OF LINCOLN,www.lincoln.ne.gov,1,19,7,,5,,,,,5,3,,1
23,126,CITY OF TUCSON,www.tucsonaz.gov,1,12,7,,,6,,,,4,1,,
24,49,Wolverhampton,www.wolverhampton.gov.uk,,24,8,,8,7,,,,4,1,,
25,144,CITY OF CLEVELAND,www.clevelandohio.gov,1,4,10,1,3,4,,,,5,3,,
26,137,CITY OF VIRGINIA BEACH,virginiabeach.gov,,34,10,,3,3,,,,5,2,,
27,63,Buckinghamshire,www.buckinghamshire.gov.uk,,1,2,,1,1,,,,4,1,,
28,84,Stoke-on-Trent,www.stoke.gov.uk,,16,5,1,2,,,,,4,1,1,
29,203,CITY OF FAYETTEVILLE,www.fayettevillenc.gov,,42,7,1,4,10,,,,4,1,,
30,173,CITY OF BUFFALO,www.buffalony.gov,3,9,11,1,2,9,,,,7,1,,
31,86,Swindon,www.swindon.gov.uk,,8,3,1,3,4,,,,6,,4,
32,115,CITY OF EL PASO,www.elpasotexas.gov,,10,8,4,4,2,,,,6,1,8,
33,82,Kingston upon Hull,www.hull.gov.uk,2,33,6,0,1,3,,,,3,7,,
34,10,Southwark,www.southwark.gov.uk,,18,6,,4,2,,,,4,1,,
35,234,City of Penrith,www.penrithcity.nsw.gov.au,1,6,6,,11,,,,,5,,,
36,55,Rochdale,www.rochdale.gov.uk,6,14,11,1,24,,,,,4,2,,
37,100,CITY OF SAN DIEGO,www.sandiego.gov,3,11,12,,20,5,,,,4,2,,
38,233,City of Wollongong,www.wollongong.nsw.gov.au,1,8,7,,11,,,,,,5,1,
39,207,CITY OF GLENDALE,www.glendaleca.gov,2,13,7,0,10,1,,,,5,2,,
40,27,Sutton,www.sutton.gov.uk,,7,5,1,3,1,,,,5,3,,
41,238,City of Lake Macquarie,www.lakemac.com.au,2,16,6,0,4,,,,,6,1,,
42,135,CITY OF COLORADO SPRINGS,coloradosprings.gov,1,14,8,0,8,1,,,,2,2,,
43,226,Cumberland Council,www.cumberland.nsw.gov.au,1,15,6,,7,4,,,,3,1,,
44,181,CITY OF WINSTON-SALEM,www.cityofws.org,2,21,8,,1,2,,,,4,1,,
45,38,Sandwell,www.sandwell.gov.uk,,10,4,,0,3,,,,6,1,,
46,194,CITY OF SPOKANE,my.spokanecity.org,2,15,7,,7,4,,,,6,2,,
47,95,CITY OF CHICAGO,www.chicago.gov,,9,8,,8,6,,,,4,2,,
48,205,CITY OF MORENO VALLEY,moval.gov,,10,6,,2,19,,,,1,2,,
50,60,East Suffolk,www.eastsuffolk.gov.uk,,14,7,1,1,2,,,,4,1,,
51,107,CITY OF COLUMBUS,www.columbus.gov,1,2,10,1,4,3,,,,1,5,1,
52,79,Medway,www.medway.gov.uk,4,10,6,0,3,1,,,,4,2,,
53,221,Northern Beaches Council,www.northernbeaches.nsw.gov.au,14,10,7,1,28,,,,,,1,,
54,212,City of Brisbane,www.brisbane.qld.gov.au,,7,7,0,8,,,,,4,2,,
55,43,Stockport,www.stockport.gov.uk,,21,9,0,2,,,,,5,2,,1
56,186,CITY OF HIALEAH,www.hialeahfl.gov,,6,7,1,6,3,,,,5,1,,
57,140,CITY OF TULSA,www.cityoftulsa.org,,4,5,,10,,,,,4,1,,
58,6,Brent,www.brent.gov.uk,,1,27,8,4,2,,,,4,2,1,
59,216,City of Blacktown,www.blacktown.nsw.gov.au,,15,6,0,3,3,1,,,2,1,,
60,219,City of Logan,www.logan.qld.gov.au,,20,10,,14,,,,,5,2,,
61,53,Oldham,www.oldham.gov.uk,,10,6,,1,3,,,,4,6,,
62,42,Newcastle upon Tyne,www.newcastle.gov.uk,5,14,5,,10,1,,,,3,3,,
63,77,Central Bedfordshire,www.centralbedfordshire.gov.uk,,6,5,1,4,3,,,1,5,1,1,
64,29,Leeds,www.leeds.gov.uk,1,4,3,,1,,,,,4,1,,
65,190,CITY-PARISH OF BATON ROUGE-EAST BATON ROUGE,www.brla.gov,,9,7,0,5,0,,,,2,2,,
66,21,Havering,www.havering.gov.uk,1,12,5,,3,1,,,,4,1,,
67,105,CITY OF JACKSONVILLE,www.coj.net,,10,15,3,8,4,,,,5,2,,
68,25,Barking and Dagenham,www.lbbd.gov.uk,,4,7,1,2,1,,,,5,4,,
69,165,CITY OF IRVINE,www.cityofirvine.org,1,11,5,,7,6,,,,3,2,,
70,213,City of Gold Coast,www.goldcoast.qld.gov.au,,15,8,,14,1,,,,4,2,,
71,145,CITY OF TAMPA,www.tampa.gov,6,48,9,,18,,,,,4,3,1,
72,183,TOWN OF GILBERT,www.gilbertaz.gov,3,10,5,0,3,,,,,5,1,,
73,58,North Tyneside,northtyneside.gov.uk,,1,4,,1,,,,1,1,2,,
74,83,Derby,www.derby.gov.uk,1,9,6,,8,1,,,1,4,2,,
75,11,Hillingdon,www.hillingdon.gov.uk,2,9,6,0,4,1,,,,5,2,1,
77,22,Harrow,www.harrow.gov.uk,,21,3,,5,,,,,6,3,,
78,178,CITY OF RENO,www.reno.gov,,4,9,1,17,2,,,5,4,1,,1
79,210,CITY OF AURORA,www.aurora-il.org,,16,7,1,1,,,,,3,1,,
80,229,City of Whittlesea,www.whittlesea.vic.gov.au,1,8,9,,5,3,,,,,2,1,
81,26,Merton,www.merton.gov.uk,1,2,5,,4,1,,,3,6,2,1,
82,71,Cheshire West and Chester,www.cheshirewestandchester.gov.uk,1,13,5,1,3,2,,,,3,1,,
83,16,Waltham Forest,www.walthamforest.gov.uk,,9,5,1,8,3,,,,4,1,,
84,7,Wandsworth,www.wandsworth.gov.uk,2,5,5,1,4,1,,,,4,2,,
85,114,CITY OF BOSTON,www.boston.gov,,25,5,1,22,0,,,,3,1,1,
86,211,CITY OF SALT LAKE CITY,www.slc.gov,,8,6,,3,,,,,5,1,,
87,122,CITY OF LAS VEGAS,www.lasvegasnevada.gov,,6,5,,10,1,,,2,4,2,1,
88,56,Solihull,www.solihull.gov.uk,5,6,5,,10,0,,,,4,1,,
89,156,CITY OF HENDERSON,www.cityofhenderson.com,,14,7,,6,2,,,,3,2,,
90,189,TOWN OF NORTH HEMPSTEAD,www.northhempsteadny.gov,,12,9,2,1,14,,,,1,2,,
91,19,Haringey,www.haringey.gov.uk,,23,6,,4,1,,,,3,2,,
92,14,Greenwich,www.royalgreenwich.gov.uk,1,14,4,,1,,,,,5,3,1,
94,191,CITY OF RICHMOND,www.rva.gov,4,22,3,,5,,,,,4,1,1,
95,97,CITY OF PHOENIX,www.phoenix.gov,,9,7,,6,9,,,,5,2,,
96,217,City of Casey,www.casey.vic.gov.au,2,9,8,,5,2,,,,4,1,,
97,206,TOWN OF HUNTINGTON,www.huntingtonny.gov,,19,8,,7,2,,,,4,1,,
98,54,Tameside,www.tameside.gov.uk,1,16,5,,2,,,,,3,1,,
99,62,Cornwall,www.cornwall.gov.uk,3,26,5,,1,1,,,,4,2,,
100,131,CITY OF ATLANTA,www.atlantaga.gov,,11,5,,1,5,,,,4,3,2,
101,214,Moreton Bay Region,www.moretonbay.qld.gov.au,2,25,4,0,3,2,,,,,2,,
102,9,Tower Hamlets,www.towerhamlets.gov.uk,2,7,6,,1,1,,,,6,1,,
103,1,Croydon,www.croydon.gov.uk/#,,10,5,2,4,,,,,6,2,,
