Sequence,Index,City,Domain,Drawing,Icon,Logo,None of above,Photo,Poster,Qr code
0,246,玉溪市,www.yuxi.gov.cn,0,13,7,0,5,11,4
1,112,三明市,www.sm.gov.cn,10,35,8,2,2,22,4
2,200,河源市,www.heyuan.gov.cn,0,39,6,1,8,14,5
3,113,泉州市,www.quanzhou.gov.cn,6,54,7,1,4,8,4
4,81,宿迁市,www.suqian.gov.cn,1,62,9,1,5,10,3
5,127,抚州市,www.jxfz.gov.cn,2,22,8,2,6,11,4
6,54,白山市,www.cbs.gov.cn,0,19,4,1,6,10,2
7,220,玉林市,www.yulin.gov.cn,0,59,6,5,10,32,1
8,96,淮南市,www.huainan.gov.cn,0,75,9,1,6,19,2
9,124,赣州市,www.ganzhou.gov.cn,1,21,7,2,6,24,8
10,1,上海,www.shanghai.gov.cn,1,107,10,0,9,4,4
11,12,沧州市,www.cangzhou.gov.cn,0,49,3,2,4,7,1
12,49,长春市,www.changchun.gov.cn,0,50,13,9,12,1,1
13,258,西安市,www.xa.gov.cn,2,11,7,0,5,34,1
14,169,孝感市,www.xiaogan.gov.cn,2,22,6,0,4,15,6
15,58,齐齐哈尔市,www.qqhr.gov.cn,4,25,6,0,0,5,2
16,68,绥化市,www.suihua.gov.cn,1,8,5,1,5,11,1
17,39,本溪市,www.benxi.gov.cn,0,55,5,3,15,39,1
18,42,营口市,www.yingkou.gov.cn,5,8,5,0,5,34,1
19,102,滁州市,www.chuzhou.gov.cn,0,43,10,2,15,28,1
20,13,廊坊市,www.lf.gov.cn,0,21,12,1,3,13,4
21,17,阳泉市,www.yq.gov.cn,2,30,6,2,4,8,2
22,170,荆州市,www.jingzhou.gov.cn,2,30,5,1,2,23,5
23,119,景德镇市,www.jdz.gov.cn,6,11,13,4,4,11,6
24,249,丽江市,www.lijiang.gov.cn,0,44,7,2,2,15,6
25,120,萍乡市,www.pingxiang.gov.cn,0,20,7,1,7,31,2
26,118,南昌市,www.nc.gov.cn,12,50,6,6,7,4,4
27,213,柳州市,www.liuzhou.gov.cn,6,53,7,0,13,87,2
28,261,咸阳市,www.xianyang.gov.cn,5,18,5,1,5,10,2
29,279,白银市,www.baiyin.gov.cn,0,19,7,3,13,9,3
30,67,黑河市,www.heihe.gov.cn,1,14,4,1,7,12,2
31,184,永州市,www.yzcity.gov.cn,0,95,5,1,8,20,1
32,178,邵阳市,www.shaoyang.gov.cn,2,74,7,2,10,17,1
33,60,鹤岗市,www.hegang.gov.cn,0,31,5,4,6,26,4
34,269,日喀则市,www.rikaze.gov.cn,5,25,5,2,5,8,2
36,174,长沙市,www.changsha.gov.cn,0,40,4,3,10,21,3
37,283,平凉市,www.pingliang.gov.cn,6,62,17,1,9,9,0
38,55,松原市,www.jlsy.gov.cn,2,45,6,3,7,35,6
39,101,黄山市,www.huangshan.gov.cn,1,77,6,0,55,8,1
40,115,南平市,www.np.gov.cn,1,26,9,1,3,21,1
41,158,商丘市,www.shangqiu.gov.cn,2,51,8,1,25,15,0
42,21,晋中市,sxjz.gov.cn,5,21,8,0,5,11,4
43,103,阜阳市,www.fy.gov.cn,0,35,7,2,5,13,3
44,132,枣庄市,www.zaozhuang.gov.cn,1,41,7,2,4,26,3
45,77,盐城市,www.yancheng.gov.cn,1,39,3,1,7,14,4
46,57,哈尔滨市,www.harbin.gov.cn,0,15,4,1,2,5,0
47,285,庆阳市,www.zgqingyang.gov.cn,0,55,11,1,11,14,3
48,27,包头市,www.baotou.gov.cn,0,50,7,7,5,8,2
50,89,衢州市,www.qz.gov.cn,0,43,3,3,2,11,4
51,122,新余市,www.xinyu.gov.cn,1,67,7,1,8,9,2
52,144,菏泽市,www.heze.gov.cn,0,39,3,2,4,6,3
53,62,大庆市,www.daqing.gov.cn,0,19,5,0,4,13,2
54,177,衡阳市,www.hengyang.gov.cn,5,29,4,4,6,21,5
55,80,泰州市,www.taizhou.gov.cn,3,109,8,1,5,6,2
56,70,无锡市,www.wuxi.gov.cn,0,22,5,1,4,16,4
57,189,深圳市,www.sz.gov.cn,3,24,7,1,4,9,1
58,252,贵阳市,www.guiyang.gov.cn,5,21,7,1,9,38,12
59,167,鄂州市,www.ezhou.gov.cn,0,32,9,3,4,9,3
60,34,乌兰察布市,www.wulanchabu.gov.cn,5,11,7,9,11,10,5
61,272,山南市,www.shannan.gov.cn,1,29,4,2,5,6,1
62,137,泰安市,www.taian.gov.cn,2,31,9,0,4,11,1
63,196,肇庆市,www.zhaoqing.gov.cn,5,44,6,1,1,13,6
64,143,滨州市,www.binzhou.gov.cn,1,41,4,0,4,10,6
65,203,东莞市,www.dg.gov.cn,1,47,10,1,13,9,5
66,172,咸宁市,www.xianning.gov.cn,1,30,5,0,8,13,3
67,128,上饶市,www.zgsr.gov.cn,2,50,6,2,5,9,6
68,7,邯郸市,www.hd.gov.cn,1,23,5,0,5,7,6
69,82,杭州市,www.hangzhou.gov.cn,5,10,7,0,3,8,0
70,264,汉中市,www.hanzhong.gov.cn,2,8,4,0,7,12,2
71,183,彬州市,www.snbinzhou.gov.cn,0,17,7,0,3,15,7
72,244,昆明市,www.km.gov.cn,4,41,4,1,5,5,7
73,190,珠海市,www.zhuhai.gov.cn,0,19,9,3,3,34,7
74,20,朔州市,www.shuozhou.gov.cn,0,12,6,0,4,12,1
75,185,怀化市,www.huaihua.gov.cn,2,63,3,1,2,17,4
76,176,湘潭市,www.xiangtan.gov.cn,2,34,4,4,12,19,6
77,222,贺州市,www.gxhz.gov.cn,0,27,5,1,4,11,3
78,288,银川市,www.yinchuan.gov.cn,0,16,7,0,1,8,5
79,281,武威市,wzgl.zwfw.gswuwei.gov.cn,1,41,4,1,9,23,7
80,233,遂宁市,www.suining.gov.cn,0,40,5,2,5,58,1
81,238,宜宾市,www.yibin.gov.cn,0,105,7,2,5,16,6
82,35,沈阳市,www.shenyang.gov.cn,0,36,7,1,2,23,5
83,282,张掖市,www.zhangye.gov.cn,1,53,8,3,24,17,7
84,107,亳州市,www.bozhou.gov.cn,1,29,10,0,6,10,4
85,146,开封市,www.kaifeng.gov.cn,1,35,8,7,10,17,1
86,262,渭南市,www.weinan.gov.cn,0,20,8,1,7,8,5
87,161,驻马店市,www.zhumadian.gov.cn,2,51,5,0,16,17,0
88,91,台州市,www.zjtz.gov.cn,5,51,5,1,2,12,0
89,181,张家界市,www.zjj.gov.cn,6,52,5,0,9,14,5
90,19,晋城市,www.jcgov.gov.cn,3,89,10,1,22,23,6
91,186,娄底市,www.hnloudi.gov.cn,0,34,5,1,1,19,2
92,289,石嘴山市,www.shizuishan.gov.cn,2,26,6,1,7,11,6
93,215,梧州市,www.wuzhou.gov.cn,0,20,4,1,6,26,4
94,108,宣城市,www.xuancheng.gov.cn,2,33,9,4,7,8,5
96,204,中山市,www.zs.gov.cn,2,22,8,1,4,15,2
97,32,呼伦贝尔市,www.hlbe.gov.cn,5,66,11,1,5,5,6
98,10,张家口市,www.zjk.gov.cn,1,28,3,0,5,19,2
99,259,铜川市,www.tongchuan.gov.cn,1,14,5,0,1,0,3
100,290,吴忠市,www.wuzhong.gov.cn,1,12,5,1,2,17,1
101,129,济南市,www.jinan.gov.cn,5,34,11,1,9,9,1
102,241,雅安市,www.yaan.gov.cn,3,60,7,1,8,30,6
